-18,62,13
-17,62,14
-17,61,14
-16,61,14
-16,62,14
-16,63,14
-15,62,14
-14,63,14
-15,62,15
-15,61,14
-16,61,15
-16,60,16
-15,59,16
-16,59,15
-17,61,17
-18,61,20
-19,58,22
-19,56,20
-18,54,16
-16,53,16
-14,57,16
-13,64,18
-11,62,19
-15,58,12
-16,56,10
-17,55,12
-18,54,13
-22,55,12
-24,55,11
-28,57,10
-29,59,10
-28,64,9
-26,67,8
-22,67,8
-20,66,9
-18,63,9
-20,61,9
-23,58,7
-25,58,6
-28,60,3
-29,61,3
-28,58,3
-27,58,4
-26,60,4
-25,61,7
-25,61,7
-25,59,8
-25,58,8
-29,58,8
-30,58,8
-33,59,8
-32,59,7
-32,60,8
-31,60,8
-30,58,9
-30,58,9
-29,57,10
-29,61,10
-28,62,13
-28,63,14
-26,67,17
-26,67,18
-26,66,16
-25,60,17
-22,54,16
-18,53,14
-14,56,13
-7,61,12
-6,61,12
-4,63,15
-1,62,17
-3,59,21
-5,57,27
-12,51,32
-19,51,27
-29,53,15
-32,54,13
-31,50,15
-31,47,14
-28,47,19
-29,47,21
-27,48,18
-27,51,18
-29,57,19
-26,58,21
-22,58,23
-21,58,25
-21,64,28
-22,71,23
-22,75,18
-19,78,11
-14,77,10
-11,61,11
-12,54,11
-15,55,6
-15,58,4
-15,67,2
-15,67,1
-15,63,5
-16,62,9
-19,60,13
-20,59,15
-21,59,16
-20,58,16
-20,57,17
-20,56,16
-20,55,15
-14,58,19
-17,59,17
-24,56,13
-25,54,15
-28,60,16
-29,71,18
-37,77,18
-42,73,17
-46,60,16
-40,52,14
-24,47,14
-20,47,17
-8,58,10
-3,64,12
-1,68,17
-4,64,22
-12,53,26
-16,51,23
-19,52,17
-20,53,13
-21,53,14
-27,52,17
-29,51,17
-32,47,18
-31,47,18
-30,52,19
-32,58,17
-31,61,15
-26,58,17
-27,61,19
-30,69,19
-31,77,19
-28,78,19
-18,77,20
-12,67,20
-7,52,17
-7,54,14
-7,62,5
-9,68,1
-16,70,-2
-13,66,5
-9,61,13
-10,57,18
-12,57,18
-16,57,19
-20,56,18
-22,55,16
-22,54,15
-23,52,15
-26,52,15
-28,53,14
-26,55,14
-35,58,10
-38,55,9
-42,66,9
-44,76,10
-47,75,13
-46,71,15
-36,56,15
-29,48,15
-15,47,15
-10,55,14
3,66,11
4,66,9
0,65,11
-4,60,14
-5,57,19
-12,53,27
-18,53,26
-26,53,19
-26,53,16
-27,52,12
-32,51,10
-36,48,11
-36,47,14
-36,58,17
-35,63,17
-36,58,16
-37,65,15
-36,71,13
-33,76,14
-24,75,15
-18,70,16
-9,56,15
-7,59,10
-8,62,6
-8,69,1
-6,69,2
-9,68,2
-8,64,4
-8,59,9
-10,59,10
-14,59,13
-17,58,14
-20,57,16
-20,56,17
-24,57,15
-25,58,14
-29,56,11
-32,56,11
-38,57,12
-38,55,14
-32,55,22
-29,55,20
-31,73,22
-29,78,20
-28,77,18
-26,58,20
-27,49,18
-17,41,17
-14,50,12
-12,63,17
-9,64,14
-1,65,13
-6,63,8
-10,57,11
-6,54,16
-9,53,20
-11,53,20
-16,56,26
-20,55,27
-28,52,23
-35,51,19
-32,45,19
-30,43,18
-28,51,16
-32,64,16
-34,63,15
-35,68,13
-31,64,11
-19,61,16
-15,60,20
-14,74,20
-13,80,16
-6,70,11
-3,59,13
-4,55,9
-9,56,5
-14,63,0
-15,66,0
-15,70,0
-15,69,3
-15,62,13
